id;revenueusd;country;day;dateRegistered;subscriptionStatus
01bf8d2a-3c18-5962-be78-661b07826c39;1,296602634;th;0;8/15/2019;subscribed
01bf8d2a-3c18-5962-be78-661b07826c39;2,590590735;th;2;8/15/2019;subscribed
056ac77a-cc75-57b1-a375-a6f6cfc65dfc;14,98;us;0;7/25/2019;notSubscribed
16a5641d-5e53-5592-93c5-b788392695ff;9,99;us;0;08/03/2019;notSubscribed
16a5641d-5e53-5592-93c5-b788392695ff;19,98;us;4;08/03/2019;notSubscribed
16a5641d-5e53-5592-93c5-b788392695ff;24,97;us;6;08/03/2019;notSubscribed
16a5641d-5e53-5592-93c5-b788392695ff;29,96;us;8;08/03/2019;notSubscribed
16a5641d-5e53-5592-93c5-b788392695ff;34,95;us;12;08/03/2019;notSubscribed
16a5641d-5e53-5592-93c5-b788392695ff;44,94;us;13;08/03/2019;notSubscribed
16a5641d-5e53-5592-93c5-b788392695ff;54,93;us;15;08/03/2019;notSubscribed
1a5e8a9a-519a-519c-b2b6-72a7bb088bbc;43,79815687;au;0;7/26/2019;notSubscribed
1a5e8a9a-519a-519c-b2b6-72a7bb088bbc;99,05861421;au;3;7/26/2019;notSubscribed
1a5e8a9a-519a-519c-b2b6-72a7bb088bbc;109,4037993;au;4;7/26/2019;notSubscribed
1a5e8a9a-519a-519c-b2b6-72a7bb088bbc;125,1331804;au;6;7/26/2019;notSubscribed
1a5e8a9a-519a-519c-b2b6-72a7bb088bbc;156,9031138;au;13;7/26/2019;notSubscribed
1a5e8a9a-519a-519c-b2b6-72a7bb088bbc;158,9310636;au;15;7/26/2019;notSubscribed
1a5e8a9a-519a-519c-b2b6-72a7bb088bbc;179,9329715;au;21;7/26/2019;notSubscribed
1d6c2690-90a8-5250-a585-f9fb18f7123a;18,21571555;gb;0;08/04/2019;subscribed
1d6c2690-90a8-5250-a585-f9fb18f7123a;42,30871909;gb;8;08/04/2019;subscribed
1d6c2690-90a8-5250-a585-f9fb18f7123a;54,44083327;gb;12;08/04/2019;subscribed
1df69a50-fa6a-5cec-b700-614ab38bb1dc;1,909668511;ph;0;08/09/2019;notSubscribed
1eade8c6-2b2a-5124-87a1-199dc99b6ba6;7,779615801;th;0;8/15/2019;subscribed
2314135f-899d-5553-9e9f-f7ca91afed9e;1,285362208;id;0;7/28/2019;notSubscribed
2314135f-899d-5553-9e9f-f7ca91afed9e;14,76358458;id;2;7/28/2019;notSubscribed
2314135f-899d-5553-9e9f-f7ca91afed9e;20,94855096;id;11;7/28/2019;notSubscribed
2314135f-899d-5553-9e9f-f7ca91afed9e;27,11510889;id;19;7/28/2019;notSubscribed
23afa2f0-415c-5f6b-a80b-5334e599af2a;1,99;us;0;8/20/2019;notSubscribed
2850c64d-18c0-534c-a5c7-bb7924115659;4,99;us;0;08/04/2019;notSubscribed
2b184346-d0d3-5b86-ad58-f51d09713122;19,99;us;0;7/28/2019;notSubscribed
2b184346-d0d3-5b86-ad58-f51d09713122;29,98;us;6;7/28/2019;notSubscribed
2e6ffcdb-fc02-574c-8ac2-8b3284d54c16;2,99;us;0;7/31/2019;notSubscribed
35e1759b-adca-5517-bd86-748eb6b682f6;9,99;us;0;7/31/2019;notSubscribed
35e1759b-adca-5517-bd86-748eb6b682f6;24,97;us;3;7/31/2019;notSubscribed
35e1759b-adca-5517-bd86-748eb6b682f6;54,95;us;16;7/31/2019;notSubscribed
3c377786-342b-5190-944e-61a05ce65bc9;1,293988102;th;0;8/17/2019;subscribed
3f6c4481-e2c5-530e-a8b8-262ebbdec99a;1,293894957;th;0;08/01/2019;subscribed
428a391c-2423-58ec-bf16-de87c8344c64;14,98;us;0;08/04/2019;notSubscribed
44732c5e-8450-520a-9483-1f3e812e764a;5,98;us;0;8/17/2019;notSubscribed
44732c5e-8450-520a-9483-1f3e812e764a;6,97;us;1;8/17/2019;notSubscribed
475f71f5-124b-5e9e-8782-09b422ad6d5e;12,98;us;0;8/17/2019;notSubscribed
47ad406f-328e-53b5-87e5-38ba0a1e8e1b;9,99;us;0;08/10/2019;notSubscribed
495176fe-48af-5c4d-a48f-5176ada5a175;1,29577893;th;0;7/29/2019;subscribed
4e9efaeb-97b9-5e91-9b3f-5137c2ad8779;1,294935166;th;0;7/28/2019;subscribed
4f664932-2d4e-5a9a-b71a-e7c9b3316be3;0,99;us;0;8/16/2019;notSubscribed
5232674d-39d5-5aac-8de3-b08b6db81a1d;6,284576797;id;0;7/27/2019;notSubscribed
5232674d-39d5-5aac-8de3-b08b6db81a1d;12,56856981;id;1;7/27/2019;notSubscribed
5232674d-39d5-5aac-8de3-b08b6db81a1d;27,33043241;id;3;7/27/2019;notSubscribed
5232674d-39d5-5aac-8de3-b08b6db81a1d;65,70297834;id;4;7/27/2019;notSubscribed
5232674d-39d5-5aac-8de3-b08b6db81a1d;71,96690772;id;5;7/27/2019;notSubscribed
5232674d-39d5-5aac-8de3-b08b6db81a1d;116,3133985;id;6;7/27/2019;notSubscribed
5232674d-39d5-5aac-8de3-b08b6db81a1d;129,6418546;id;8;7/27/2019;notSubscribed
5232674d-39d5-5aac-8de3-b08b6db81a1d;142,9440291;id;13;7/27/2019;notSubscribed
5232674d-39d5-5aac-8de3-b08b6db81a1d;167,5388619;id;14;7/27/2019;notSubscribed
5232674d-39d5-5aac-8de3-b08b6db81a1d;191,9948701;id;20;7/27/2019;notSubscribed
5232674d-39d5-5aac-8de3-b08b6db81a1d;205,2734904;id;22;7/27/2019;notSubscribed
549464f8-891e-507c-8240-459d06d4eebe;0,99;us;0;8/17/2019;notSubscribed
549464f8-891e-507c-8240-459d06d4eebe;2,98;us;1;8/17/2019;notSubscribed
56d72f68-3930-557f-b604-9058c8facacd;18,19564427;gb;0;08/05/2019;subscribed
71ce8425-ee47-51af-b23d-e68ef6476ae6;5,98;us;0;8/17/2019;notSubscribed
7a292aa2-51bf-576e-abde-9dad0f57f980;0,99;us;0;7/29/2019;notSubscribed
7df3b0a0-1a4e-510b-9f0d-2630e13bd3c5;0,99;us;0;7/28/2019;notSubscribed
7df3b0a0-1a4e-510b-9f0d-2630e13bd3c5;8,97;us;1;7/28/2019;notSubscribed
7df3b0a0-1a4e-510b-9f0d-2630e13bd3c5;13,96;us;2;7/28/2019;notSubscribed
7df3b0a0-1a4e-510b-9f0d-2630e13bd3c5;18,95;us;4;7/28/2019;notSubscribed
7df3b0a0-1a4e-510b-9f0d-2630e13bd3c5;21,94;us;16;7/28/2019;notSubscribed
7df3b0a0-1a4e-510b-9f0d-2630e13bd3c5;24,93;us;17;7/28/2019;notSubscribed
7df3b0a0-1a4e-510b-9f0d-2630e13bd3c5;27,92;us;20;7/28/2019;notSubscribed
855f3c8e-9712-5c39-9e09-e75c8fb55ede;1,294935166;th;0;7/28/2019;subscribed
855f3c8e-9712-5c39-9e09-e75c8fb55ede;5,353599169;th;2;7/28/2019;subscribed
855f3c8e-9712-5c39-9e09-e75c8fb55ede;37,42845835;th;4;7/28/2019;subscribed
855f3c8e-9712-5c39-9e09-e75c8fb55ede;44,31857816;th;13;7/28/2019;subscribed
855f3c8e-9712-5c39-9e09-e75c8fb55ede;78,35439729;th;18;7/28/2019;subscribed
855f3c8e-9712-5c39-9e09-e75c8fb55ede;96,14673369;th;20;7/28/2019;subscribed
91a6197d-3014-565f-b977-39aeb037c242;1,133806564;th;0;7/29/2019;subscribed
91a6197d-3014-565f-b977-39aeb037c242;3,376901829;th;11;7/29/2019;subscribed
91a6197d-3014-565f-b977-39aeb037c242;9,179198614;th;17;7/29/2019;subscribed
91a6197d-3014-565f-b977-39aeb037c242;20,49726566;th;18;7/29/2019;subscribed
91a6197d-3014-565f-b977-39aeb037c242;31,78470191;th;20;7/29/2019;subscribed
9252b39c-d58d-54bf-ab40-bd6cad5bd469;6,461719545;th;0;7/26/2019;subscribed
9252b39c-d58d-54bf-ab40-bd6cad5bd469;12,96344495;th;14;7/26/2019;subscribed
939cf294-ebc2-5bf2-8b94-bef5cf6c66ad;6,234011487;id;0;08/02/2019;notSubscribed
97d2824a-f8c9-5283-a44d-40cdbab0842a;10,17482176;au;0;08/11/2019;notSubscribed
a499b03d-133a-59ef-9cdf-c4f3c426f8c4;3,103505761;au;0;7/28/2019;notSubscribed
a924d3b6-b352-50a5-8776-0087739a85f2;0,99;us;0;7/29/2019;notSubscribed
aafb9761-0f20-5c54-9756-85aa1f12ce2d;6,485998308;th;0;8/16/2019;subscribed
ab718002-a205-590b-9922-eefa76bc2474;5,555600467;au;0;7/26/2019;notSubscribed
ab718002-a205-590b-9922-eefa76bc2474;11,07582592;au;1;7/26/2019;notSubscribed
ab718002-a205-590b-9922-eefa76bc2474;15,20922557;au;2;7/26/2019;notSubscribed
ab718002-a205-590b-9922-eefa76bc2474;16,23858026;au;3;7/26/2019;notSubscribed
ab718002-a205-590b-9922-eefa76bc2474;19,29365631;au;14;7/26/2019;notSubscribed
ab718002-a205-590b-9922-eefa76bc2474;24,70847542;au;21;7/26/2019;notSubscribed
ab718002-a205-590b-9922-eefa76bc2474;34,86998204;au;22;7/26/2019;notSubscribed
ab718002-a205-590b-9922-eefa76bc2474;45,03552003;au;23;7/26/2019;notSubscribed
ab718002-a205-590b-9922-eefa76bc2474;55,20364951;au;24;7/26/2019;notSubscribed
ab718002-a205-590b-9922-eefa76bc2474;73,78666328;au;25;7/26/2019;notSubscribed
b1550cad-6723-577e-bc7b-63cd61f029ae;2,99;us;0;08/07/2019;notSubscribed
b6b11072-6160-551e-9670-3cdfa67de16a;17,48919103;id;0;08/04/2019;notSubscribed
ba3056bf-7390-5dad-b616-7ebb8907218f;14,98;us;0;8/15/2019;notSubscribed
ba3056bf-7390-5dad-b616-7ebb8907218f;33,94;us;1;8/15/2019;notSubscribed
bc41dca8-bc81-5ac9-88b1-e6820568d3ff;4,99;us;0;8/20/2019;notSubscribed
bd21ad3e-83df-5314-a7cc-69e62ca5ab68;14,98;us;0;08/06/2019;notSubscribed
bf660906-1812-5d10-a4f5-5340ee0d405a;26,97;us;0;08/11/2019;notSubscribed
bf660906-1812-5d10-a4f5-5340ee0d405a;31,96;us;1;08/11/2019;notSubscribed
c4d1ff64-f1a6-5686-ac68-0eef05cf000b;1,293988102;th;0;8/17/2019;subscribed
c55a6293-9006-5c08-b355-fedea7f33e3b;6,184966382;id;0;08/08/2019;notSubscribed
c64d6a97-c278-56b2-b127-5a3c89d08537;5,492582796;au;0;7/31/2019;notSubscribed
c8f9d0d7-75dc-5e4b-8fb8-0046a389b370;14,98;us;0;8/17/2019;notSubscribed
ca2734a2-9b7b-568b-a7b9-183999c2e558;4,140787062;id;0;8/13/2019;notSubscribed
cac210de-52c6-5262-9203-025fc221e634;14,98;us;0;08/11/2019;notSubscribed
cbb3fd81-b98d-54aa-91cf-263e738b767e;4,99;us;0;8/14/2019;notSubscribed
cdd65fbc-cd03-548f-b59e-9d7a960f32de;2,99;us;0;08/12/2019;notSubscribed
ce0f3ccd-2c13-5d71-b2f5-6af3fb292a27;4,99;us;0;7/27/2019;notSubscribed
ce325069-67bf-54e5-84e9-49f3e09b53e3;2,99;us;0;08/05/2019;notSubscribed
ceb6dfc8-e0d4-5aa5-ab66-6eb45f12d9eb;19,99;us;0;08/09/2019;notSubscribed
ceb6dfc8-e0d4-5aa5-ab66-6eb45f12d9eb;21,98;us;2;08/09/2019;notSubscribed
ceb6dfc8-e0d4-5aa5-ab66-6eb45f12d9eb;41,97;us;10;08/09/2019;notSubscribed
d5998e04-0a82-5c42-b166-51ae8b6fae36;1,298772481;th;0;7/31/2019;subscribed
da383ff0-7d54-57b3-a4e6-3f7d95a35a4c;19,99;us;0;7/26/2019;notSubscribed
da383ff0-7d54-57b3-a4e6-3f7d95a35a4c;20,98;us;3;7/26/2019;notSubscribed
da383ff0-7d54-57b3-a4e6-3f7d95a35a4c;30,97;us;4;7/26/2019;notSubscribed
da383ff0-7d54-57b3-a4e6-3f7d95a35a4c;45,96;us;8;7/26/2019;notSubscribed
da383ff0-7d54-57b3-a4e6-3f7d95a35a4c;47,95;us;15;7/26/2019;notSubscribed
dbb26c72-de74-5d5d-839b-5a495214e74a;2,99;us;0;08/07/2019;notSubscribed
dd17e296-2989-5eb0-92e8-f719b5293787;5,555600467;au;0;7/26/2019;notSubscribed
dd17e296-2989-5eb0-92e8-f719b5293787;21,1916022;au;14;7/26/2019;notSubscribed
df980226-3996-595c-bc55-943dd14b6689;11,98;us;0;08/11/2019;notSubscribed
e0218ec5-61c3-5b0c-879c-b432a9f7024f;6,499717256;th;0;8/21/2019;subscribed
e6e489aa-cb0a-57b2-a03d-30ef267a31e6;0,99;us;0;7/28/2019;notSubscribed
e89953a3-75ff-5ce1-a11c-bf4d2c4c52a3;4,99;us;0;08/02/2019;notSubscribed
e89953a3-75ff-5ce1-a11c-bf4d2c4c52a3;14,98;us;6;08/02/2019;notSubscribed
ec717ed2-0750-51b0-9cd4-ccea786f8bea;2,99;us;0;08/10/2019;notSubscribed
ec9e9242-dcf3-5d4e-af76-919f14fd1cac;14,98;us;0;8/13/2019;notSubscribed
efc1ca08-0fa5-59a8-ad64-e3b0322c22f2;4,99;us;0;08/03/2019;notSubscribed
f150cb84-ff5e-5a6e-b7c5-05fde7645640;2,99;us;0;7/28/2019;notSubscribed
f150cb84-ff5e-5a6e-b7c5-05fde7645640;3,98;us;1;7/28/2019;notSubscribed
f5957634-5245-5f48-9be4-acedfd30c791;1,293988102;th;0;8/17/2019;subscribed
f73a7ad6-3617-5873-bb06-2b674ebfba56;17,97;us;0;08/04/2019;notSubscribed
f73a7ad6-3617-5873-bb06-2b674ebfba56;27,96;us;2;08/04/2019;notSubscribed
f73a7ad6-3617-5873-bb06-2b674ebfba56;37,95;us;4;08/04/2019;notSubscribed
f73a7ad6-3617-5873-bb06-2b674ebfba56;52,93;us;12;08/04/2019;notSubscribed
f879919a-a09a-522e-9ff8-aae70877b90b;4,99;us;0;8/21/2019;notSubscribed
f8e6623a-498e-51c2-87a0-80447fc94a0b;4,99;us;0;8/13/2019;notSubscribed
fcaf7a7f-2846-5665-be82-a7eeb1614e67;2,99;us;0;7/27/2019;notSubscribed
fd4ce091-a702-5946-9849-ad4fc02c0ac9;9,302320515;th;0;8/20/2019;subscribed
fdb4b2a0-26cb-5479-a4dd-553c04b53a66;50,18194677;fr;0;7/28/2019;subscribed
fdb4b2a0-26cb-5479-a4dd-553c04b53a66;74,65474107;fr;1;7/28/2019;subscribed
fdb4b2a0-26cb-5479-a4dd-553c04b53a66;166,5182817;fr;4;7/28/2019;subscribed
fdb4b2a0-26cb-5479-a4dd-553c04b53a66;194,7726849;fr;5;7/28/2019;subscribed
0641c99e-24f9-53a5-a730-1d37e55f8c25;1,29696016;th;0;08/01/2019;subscribed
0b689aca-2523-5a3d-8819-402a69be2aaa;19,99;us;0;7/27/2019;notSubscribed
0b689aca-2523-5a3d-8819-402a69be2aaa;29,98;us;3;7/27/2019;notSubscribed
